director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
Vincent Ward,Robin Williams,Annabella Sciorra,English,USA,Drama Fantasy Romance,what dreams may come,Vincent Ward Robin Williams Annabella Sciorra Drama Fantasy Romance what dreams may come
Steven Brill,Adam Sandler,Jon Lovitz,English,USA,Comedy Fantasy,little nicky,Steven Brill Adam Sandler Jon Lovitz Comedy Fantasy little nicky
Terry Gilliam,Matt Damon,Heath Ledger,English,USA,Action Adventure Comedy Fantasy Thriller,the brothers grimm,Terry Gilliam Matt Damon Heath Ledger Action Adventure Comedy Fantasy Thriller the brothers grimm
Tim Burton,Natalie Portman,Martin Short,English,USA,Action Comedy Sci-Fi,mars attacks!,Tim Burton Natalie Portman Martin Short Action Comedy Sci-Fi mars attacks!
Lucile Hadzihalilovic,Nissim Renard,Roxane Duran,French,France,Drama Horror Mystery Sci-Fi,evolution,Lucile Hadzihalilovic Nissim Renard Roxane Duran Drama Horror Mystery Sci-Fi evolution
Lee Tamahori,Anthony Hopkins,Harold Perrineau,English,USA,Action Adventure Drama Thriller,the edge,Lee Tamahori Anthony Hopkins Harold Perrineau Action Adventure Drama Thriller the edge
Jonathan Mostow,Bruce Willis,Devin Ratray,English,USA,Action Sci-Fi Thriller,surrogates,Jonathan Mostow Bruce Willis Devin Ratray Action Sci-Fi Thriller surrogates
Roger Donaldson,Bruce Greenwood,Jon Foster,English,USA,Drama History Thriller,thirteen days,Roger Donaldson Bruce Greenwood Jon Foster Drama History Thriller thirteen days
Rob Cohen,Sylvester Stallone,Viggo Mortensen,English,USA,Action Adventure Drama Thriller,daylight,Rob Cohen Sylvester Stallone Viggo Mortensen Action Adventure Drama Thriller daylight
Barry Cook,Charlie Rowe,Tiya Sircar,English,USA,Adventure Animation Family,walking with dinosaurs 3d,Barry Cook Charlie Rowe Tiya Sircar Adventure Animation Family walking with dinosaurs 3d
Roger Christian,Richard Tyson,Michael Byrne,English,USA,Action Adventure Sci-Fi,battlefield earth,Roger Christian Richard Tyson Michael Byrne Action Adventure Sci-Fi battlefield earth
Joe Dante,Brendan Fraser,Jenna Elfman,English,Germany,Adventure Animation Comedy Family Fantasy Sci-Fi,looney tunes: back in action,Joe Dante Brendan Fraser Jenna Elfman Adventure Animation Comedy Family Fantasy Sci-Fi looney tunes: back in action
