director_name,actor_1_name,actor_2_name,genres,movie_title,combined
 Simon West, Dominic Cooper,Gemma Chan,Action thriller,stratton, Simon West  Dominic Cooper Gemma Chan Action thriller stratton
" Jonathan Dayton, Valerie Faris", Emma Stone,Valerie Faris Cast: Emma Stone,Biographical Comedy-drama,battle of the sexes," Jonathan Dayton, Valerie Faris  Emma Stone Valerie Faris Cast: Emma Stone Biographical Comedy-drama battle of the sexes"
 Stephen Frears, Judi Dench,Ali Fazal,Biographical comedy-drama,victoria & abdul, Stephen Frears  Judi Dench Ali Fazal Biographical comedy-drama victoria & abdul
 Martin McDonagh, Frances McDormand,Woody Harrelson,Drama,"three billboards outside ebbing, missouri"," Martin McDonagh  Frances McDormand Woody Harrelson Drama three billboards outside ebbing, missouri"
 David Batty, Michael Caine,David Bailey,Documentary,my generation, David Batty  Michael Caine David Bailey Documentary my generation
 Clio Barnard, Ruth Wilson,Mark Stanley,Drama,dark river, Clio Barnard  Ruth Wilson Mark Stanley Drama dark river
 Bornila Chatterjee, Naseeruddin Shah,Tisca Chopra,Drama,the hungry, Bornila Chatterjee  Naseeruddin Shah Tisca Chopra Drama the hungry
 Dominic Cooke, Saoirse Ronan,Billy Howle,Drama,on chesil beach, Dominic Cooke  Saoirse Ronan Billy Howle Drama on chesil beach
 Daniel Kokotajlo, Siobhan Finneran,Robert Emms,Drama,apostasy, Daniel Kokotajlo  Siobhan Finneran Robert Emms Drama apostasy
 Armando Iannucci, Steve Buscemi,Simon Russell Beale,Political satire,the death of stalin, Armando Iannucci  Steve Buscemi Simon Russell Beale Political satire the death of stalin
 Dominic Savage, Gemma Arterton,Dominic Cooper,Drama,the escape, Dominic Savage  Gemma Arterton Dominic Cooper Drama the escape
 Simon West, Antonio Banderas,Olga Kurylenko,Action-Comedy,gun shy, Simon West  Antonio Banderas Olga Kurylenko Action-Comedy gun shy
 Saul Dibb, Sam Claflin,Asa Butterfield,War,journey's end, Saul Dibb  Sam Claflin Asa Butterfield War journey's end
 Tali Shalom Ezer, Kate Mara,Ellen Page,Romantic drama,my days of mercy, Tali Shalom Ezer  Kate Mara Ellen Page Romantic drama my days of mercy
 David Bruckner, Rafe Spall,Arsher Ali,Horror,the ritual, David Bruckner  Rafe Spall Arsher Ali Horror the ritual
 Michael Pearce, Jessie Buckley,Johnny Flynn,Psychological thriller,beast, Michael Pearce  Jessie Buckley Johnny Flynn Psychological thriller beast
 Richard Eyre, Emma Thompson,Stanley Tucci,Drama,the children act, Richard Eyre  Emma Thompson Stanley Tucci Drama the children act
 Anders Walter, Madison Wolfe,Imogen Poots,Fantasy thriller,i kill giants, Anders Walter  Madison Wolfe Imogen Poots Fantasy thriller i kill giants
 Haifaa al-Mansour, Elle Fanning,Douglas Booth,Romantic,mary shelley, Haifaa al-Mansour  Elle Fanning Douglas Booth Romantic mary shelley
 Sebastián Lelio, Rachel Weisz,Rachel McAdams,Drama,disobedience, Sebastián Lelio  Rachel Weisz Rachel McAdams Drama disobedience
 Susanna White, Jessica Chastain,Michael Greyeyes,Biographical drama,woman walks ahead, Susanna White  Jessica Chastain Michael Greyeyes Biographical drama woman walks ahead
 Andy Serkis, Andrew Garfield,Claire Foy,Biographical drama,breathe, Andy Serkis  Andrew Garfield Claire Foy Biographical drama breathe
 Björn Runge, Glenn Close,Jonathan Pryce,Drama,the wife, Björn Runge  Glenn Close Jonathan Pryce Drama the wife
 Simon Rumley, Justin Salinger,Amy Loughton,Drama,crowhurst, Simon Rumley  Justin Salinger Amy Loughton Drama crowhurst
 Matthew Vaughn, Colin Firth,Julianne Moore,Spy comedy,kingsman: the golden circle, Matthew Vaughn  Colin Firth Julianne Moore Spy comedy kingsman: the golden circle
 Simon Curtis, Domhnall Gleeson,Margot Robbie,Biographical drama,goodbye christopher robin, Simon Curtis  Domhnall Gleeson Margot Robbie Biographical drama goodbye christopher robin
 John McPhail, Ella Hunt,Malcolm Cumming,Christmas Horror-musical,anna and the apocalypse, John McPhail  Ella Hunt Malcolm Cumming Christmas Horror-musical anna and the apocalypse
 Jack Eve, Alice Eve,Hermione Corfield,Dark comedy Mystery Drama,bees make honey, Jack Eve  Alice Eve Hermione Corfield Dark comedy Mystery Drama bees make honey
 Martin Campbell, Jackie Chan,Pierce Brosnan,Action thriller,the foreigner, Martin Campbell  Jackie Chan Pierce Brosnan Action thriller the foreigner
" Andy Nyman, Jeremy Dyson", Andy Nyman,Jeremy Dyson Cast: Andy Nyman,Horror,ghost stories," Andy Nyman, Jeremy Dyson  Andy Nyman Jeremy Dyson Cast: Andy Nyman Horror ghost stories"
 Mikko Mäkelä, Janne Puustinen,Boodi Kabbani,Romantic drama,a moment in the reeds, Mikko Mäkelä  Janne Puustinen Boodi Kabbani Romantic drama a moment in the reeds
unknown, Lucy Cohen,unknown,Documentary,kingdom of us,unknown  Lucy Cohen unknown Documentary kingdom of us
 Tomas Alfredson, Michael Fassbender,Rebecca Ferguson,Crime thriller,the snowman, Tomas Alfredson  Michael Fassbender Rebecca Ferguson Crime thriller the snowman
 Adrian Shergold, Maxine Peake,Stephen Graham,Comedy-drama,funny cow, Adrian Shergold  Maxine Peake Stephen Graham Comedy-drama funny cow
 Paddy Considine, Paddy Considine,Jodie Whittaker,Drama,journeyman, Paddy Considine  Paddy Considine Jodie Whittaker Drama journeyman
 Roland Joffé, Forest Whitaker,Eric Bana,Drama,the forgiven, Roland Joffé  Forest Whitaker Eric Bana Drama the forgiven
 Colin McIvor, Art Parkinson,Penelope Wilton,Historical drama War,zoo, Colin McIvor  Art Parkinson Penelope Wilton Historical drama War zoo
 Isabel Coixet, Emily Mortimer,Patricia Clarkson,Drama,the bookshop, Isabel Coixet  Emily Mortimer Patricia Clarkson Drama the bookshop
 Gilles Paquet-Brenner, Glenn Close,Terence Stamp,Mystery,crooked house, Gilles Paquet-Brenner  Glenn Close Terence Stamp Mystery crooked house
 Kenneth Branagh, Kenneth Branagh,Daisy Ridley,Mystery drama,murder on the orient express, Kenneth Branagh  Kenneth Branagh Daisy Ridley Mystery drama murder on the orient express
 Paul King, Ben Whishaw,Hugh Bonneville,Live-action animated comedy,paddington 2, Paul King  Ben Whishaw Hugh Bonneville Live-action animated comedy paddington 2
 Finlay Pretsell, David Millar,unknown,Documentary,time trial, Finlay Pretsell  David Millar unknown Documentary time trial
 Richard Loncraine, Imelda Staunton,Timothy Spall,Romantic Comedy-drama,finding your feet, Richard Loncraine  Imelda Staunton Timothy Spall Romantic Comedy-drama finding your feet
 James Marsh, Colin Firth,Rachel Weisz,Drama,the mercy, James Marsh  Colin Firth Rachel Weisz Drama the mercy
 Daisy Aitkens, David Tennant,Lucy Punch,Comedy,"you, me and him"," Daisy Aitkens  David Tennant Lucy Punch Comedy you, me and him"
 Ridley Scott, Michelle Williams,Christopher Plummer,Crime thriller,all the money in the world, Ridley Scott  Michelle Williams Christopher Plummer Crime thriller all the money in the world
 Jaume Collet-Serra, Liam Neeson,Vera Farmiga,Action Thriller,the commuter, Jaume Collet-Serra  Liam Neeson Vera Farmiga Action Thriller the commuter
 Bart Layton, Evan Peters,Barry Keoghan,Drama Crime Documentary,american animals, Bart Layton  Evan Peters Barry Keoghan Drama Crime Documentary american animals
 Tim Wardle, Edward Galland,David Kellman,Documentary,three identical strangers, Tim Wardle  Edward Galland David Kellman Documentary three identical strangers
 Wash Westmoreland, Keira Knightley,Dominic West,Drama History,colette, Wash Westmoreland  Keira Knightley Dominic West Drama History colette
 Nick Park, Eddie Redmayne,Tom Hiddleston,Family Comedy Animation Adventure,early man, Nick Park  Eddie Redmayne Tom Hiddleston Family Comedy Animation Adventure early man
 Jim Hosking, Aubrey Plaza,Emile Hirsch,Comedy Crime,an evening with beverly luff linn, Jim Hosking  Aubrey Plaza Emile Hirsch Comedy Crime an evening with beverly luff linn
 Idris Elba, Aml Ameen,Stephen Graham,Crime,yardie, Idris Elba  Aml Ameen Stephen Graham Crime yardie
 Rupert Everett, Rupert Everett,Colin Firth,Drama,the happy prince, Rupert Everett  Rupert Everett Colin Firth Drama the happy prince
 Stephen Loveridge, M.I.A.,unknown,Music Documentary,matangi/maya/m.i.a., Stephen Loveridge  M.I.A. unknown Music Documentary matangi/maya/m.i.a.
 Desiree Akhavan, Chloë Grace Moretz,Sasha Lane,Drama,the miseducation of cameron post, Desiree Akhavan  Chloë Grace Moretz Sasha Lane Drama the miseducation of cameron post
 Claire McCarthy, Daisy Ridley,Naomi Watts,Romance History,ophelia, Claire McCarthy  Daisy Ridley Naomi Watts Romance History ophelia
 Jonas Åkerlund, Rory Culkin,Emory Cohen,Drama Music Horror Thriller,lords of chaos, Jonas Åkerlund  Rory Culkin Emory Cohen Drama Music Horror Thriller lords of chaos
" Ewa Banaszkiewicz, Mateusz Dymek", Aneta Piotrowska,Mateusz Dymek Cast: Aneta Piotrowska,Drama,my friend the polish girl," Ewa Banaszkiewicz, Mateusz Dymek  Aneta Piotrowska Mateusz Dymek Cast: Aneta Piotrowska Drama my friend the polish girl"
 Jesse V. Johnson, Scott Adkins,Ashley Greene,Action Crime Thriller,accident man, Jesse V. Johnson  Scott Adkins Ashley Greene Action Crime Thriller accident man
 Dom Lenoir, Matt Hookings,Michael McKell,Thriller,winter ridge, Dom Lenoir  Matt Hookings Michael McKell Thriller winter ridge
 Timur Bekmambetov, Valene Kane,Shazad Latif,Mystery Thriller,profile, Timur Bekmambetov  Valene Kane Shazad Latif Mystery Thriller profile
