director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
 Daniel Kokotajlo, Siobhan Finneran,Robert Emms,English,UK,Drama,apostasy, Daniel Kokotajlo  Siobhan Finneran Robert Emms Drama apostasy
 Armando Iannucci, Steve Buscemi,Simon Russell Beale,English,UK,Political satire,the death of stalin, Armando Iannucci  Steve Buscemi Simon Russell Beale Political satire the death of stalin
 Dominic Savage, Gemma Arterton,Dominic Cooper,English,UK,Drama,the escape, Dominic Savage  Gemma Arterton Dominic Cooper Drama the escape
 Simon West, Antonio Banderas,Olga Kurylenko,English,UK,Action-Comedy,gun shy, Simon West  Antonio Banderas Olga Kurylenko Action-Comedy gun shy
 Saul Dibb, Sam Claflin,Asa Butterfield,English,UK,War,journey's end, Saul Dibb  Sam Claflin Asa Butterfield War journey's end
 Tali Shalom Ezer, Kate Mara,Ellen Page,English,UK,Romantic drama,my days of mercy, Tali Shalom Ezer  Kate Mara Ellen Page Romantic drama my days of mercy
 David Bruckner, Rafe Spall,Arsher Ali,English,UK,Horror,the ritual, David Bruckner  Rafe Spall Arsher Ali Horror the ritual
 Michael Pearce, Jessie Buckley,Johnny Flynn,English,UK,Psychological thriller,beast, Michael Pearce  Jessie Buckley Johnny Flynn Psychological thriller beast
 Richard Eyre, Emma Thompson,Stanley Tucci,English,UK,Drama,the children act, Richard Eyre  Emma Thompson Stanley Tucci Drama the children act
 Anders Walter, Madison Wolfe,Imogen Poots,English,UK,Fantasy thriller,i kill giants, Anders Walter  Madison Wolfe Imogen Poots Fantasy thriller i kill giants
 Haifaa al-Mansour, Elle Fanning,Douglas Booth,English,UK,Romantic,mary shelley, Haifaa al-Mansour  Elle Fanning Douglas Booth Romantic mary shelley
 Sebastián Lelio, Rachel Weisz,Rachel McAdams,English,UK,Drama,disobedience, Sebastián Lelio  Rachel Weisz Rachel McAdams Drama disobedience
 Susanna White, Jessica Chastain,Michael Greyeyes,English,UK,Biographical drama,woman walks ahead, Susanna White  Jessica Chastain Michael Greyeyes Biographical drama woman walks ahead
 Andy Serkis, Andrew Garfield,Claire Foy,English,UK,Biographical drama,breathe, Andy Serkis  Andrew Garfield Claire Foy Biographical drama breathe
 Björn Runge, Glenn Close,Jonathan Pryce,English,UK,Drama,the wife, Björn Runge  Glenn Close Jonathan Pryce Drama the wife
 Simon Rumley, Justin Salinger,Amy Loughton,English,UK,Drama,crowhurst, Simon Rumley  Justin Salinger Amy Loughton Drama crowhurst
 Matthew Vaughn, Colin Firth,Julianne Moore,English,UK,Spy comedy,kingsman: the golden circle, Matthew Vaughn  Colin Firth Julianne Moore Spy comedy kingsman: the golden circle
 Simon Curtis, Domhnall Gleeson,Margot Robbie,English,UK,Biographical drama,goodbye christopher robin, Simon Curtis  Domhnall Gleeson Margot Robbie Biographical drama goodbye christopher robin
 John McPhail, Ella Hunt,Malcolm Cumming,English,UK,Christmas Horror-musical,anna and the apocalypse, John McPhail  Ella Hunt Malcolm Cumming Christmas Horror-musical anna and the apocalypse
 Jack Eve, Alice Eve,Hermione Corfield,English,UK,Dark comedy Mystery Drama,bees make honey, Jack Eve  Alice Eve Hermione Corfield Dark comedy Mystery Drama bees make honey
 Martin Campbell, Jackie Chan,Pierce Brosnan,English,UK,Action thriller,the foreigner, Martin Campbell  Jackie Chan Pierce Brosnan Action thriller the foreigner
" Andy Nyman, Jeremy Dyson", Andy Nyman,Jeremy Dyson Cast: Andy Nyman,English,UK,Horror,ghost stories," Andy Nyman, Jeremy Dyson  Andy Nyman Jeremy Dyson Cast: Andy Nyman Horror ghost stories"
 Mikko Mäkelä, Janne Puustinen,Boodi Kabbani,English,UK,Romantic drama,a moment in the reeds, Mikko Mäkelä  Janne Puustinen Boodi Kabbani Romantic drama a moment in the reeds
unknown, Lucy Cohen,unknown,English,UK,Documentary,kingdom of us,unknown  Lucy Cohen unknown Documentary kingdom of us
 Tomas Alfredson, Michael Fassbender,Rebecca Ferguson,English,UK,Crime thriller,the snowman, Tomas Alfredson  Michael Fassbender Rebecca Ferguson Crime thriller the snowman
 Adrian Shergold, Maxine Peake,Stephen Graham,English,UK,Comedy-drama,funny cow, Adrian Shergold  Maxine Peake Stephen Graham Comedy-drama funny cow
 Paddy Considine, Paddy Considine,Jodie Whittaker,English,UK,Drama,journeyman, Paddy Considine  Paddy Considine Jodie Whittaker Drama journeyman
 Roland Joffé, Forest Whitaker,Eric Bana,English,UK,Drama,the forgiven, Roland Joffé  Forest Whitaker Eric Bana Drama the forgiven
 Colin McIvor, Art Parkinson,Penelope Wilton,English,UK,Historical drama War,zoo, Colin McIvor  Art Parkinson Penelope Wilton Historical drama War zoo
 Isabel Coixet, Emily Mortimer,Patricia Clarkson,English,UK,Drama,the bookshop, Isabel Coixet  Emily Mortimer Patricia Clarkson Drama the bookshop
 Gilles Paquet-Brenner, Glenn Close,Terence Stamp,English,UK,Mystery,crooked house, Gilles Paquet-Brenner  Glenn Close Terence Stamp Mystery crooked house
 Kenneth Branagh, Kenneth Branagh,Daisy Ridley,English,UK,Mystery drama,murder on the orient express, Kenneth Branagh  Kenneth Branagh Daisy Ridley Mystery drama murder on the orient express
 Paul King, Ben Whishaw,Hugh Bonneville,English,UK,Live-action animated comedy,paddington 2, Paul King  Ben Whishaw Hugh Bonneville Live-action animated comedy paddington 2
 Finlay Pretsell, David Millar,unknown,English,UK,Documentary,time trial, Finlay Pretsell  David Millar unknown Documentary time trial
 Richard Loncraine, Imelda Staunton,Timothy Spall,English,UK,Romantic Comedy-drama,finding your feet, Richard Loncraine  Imelda Staunton Timothy Spall Romantic Comedy-drama finding your feet
 James Marsh, Colin Firth,Rachel Weisz,English,UK,Drama,the mercy, James Marsh  Colin Firth Rachel Weisz Drama the mercy
 Daisy Aitkens, David Tennant,Lucy Punch,English,UK,Comedy,"you, me and him"," Daisy Aitkens  David Tennant Lucy Punch Comedy you, me and him"
 Ridley Scott, Michelle Williams,Christopher Plummer,English,UK,Crime thriller,all the money in the world, Ridley Scott  Michelle Williams Christopher Plummer Crime thriller all the money in the world
 Jaume Collet-Serra, Liam Neeson,Vera Farmiga,English,UK,Action Thriller,the commuter, Jaume Collet-Serra  Liam Neeson Vera Farmiga Action Thriller the commuter
 Bart Layton, Evan Peters,Barry Keoghan,English,UK,Drama Crime Documentary,american animals, Bart Layton  Evan Peters Barry Keoghan Drama Crime Documentary american animals
 Tim Wardle, Edward Galland,David Kellman,English,UK,Documentary,three identical strangers, Tim Wardle  Edward Galland David Kellman Documentary three identical strangers
